dominio,anio,cantidad_personas,total_encuestados,imc_promedio,perimetro_abdominal_promedio,presion_sistolica_promedio,presion_diastolica_promedio,porcentaje_obesidad_hipertension,poblacion_total_2020,tasa_union_por_100k
ICA,2021,203,1219,37.50873521444703,112.41255718100545,153.22337911131015,90.24764268298752,1.8503326952875763,938259,21.635816975909638
ICA,2022,184,1215,37.93038202751838,112.3266728381248,146.3440512093339,86.67856707142788,2.163433274544386,938259,19.610789771267847
ICA,2023,195,1237,41.024318728782475,117.56152785787965,153.1230764551298,92.77238599916784,1.751549447588251,938259,20.78317394237625
JUNIN,2019,88,1221,36.117979839697476,110.37539634146341,140.71835801393726,91.8043118466899,1.0296010296010296,1408222,6.249014715009423
JUNIN,2020,62,1218,36.54133221309303,113.3823855092276,140.08838004101162,87.24651401230348,0.727187426694816,1408222,4.402714912847548
JUNIN,2021,86,1197,36.06873193170601,111.76431782945738,132.45922480620158,86.06577519379844,1.4369256474519632,1408222,6.1069916533046635
JUNIN,2022,109,1206,37.39427967210792,116.68446112456283,142.87199219800914,90.39975517890772,1.291163231461739,1408222,7.7402568629093995
JUNIN,2023,89,1213,37.945566317045134,114.49908443408442,134.34866614866613,89.81216524216524,1.2228634240175873,1408222,6.320026245861803
LA LIBERTAD,2019,89,1245,37.18423667825728,111.66043823326433,146.30321972713276,82.4926474491692,1.02122776821572,2054619,4.331703347433272
LA LIBERTAD,2020,90,1236,38.03870743145124,115.63250313283208,145.50274122807016,83.70700187969926,1.0402219140083218,2054619,4.380374171561734
LA LIBERTAD,2021,166,1211,37.10774201039386,110.50068779622134,146.45581109644283,92.11533147935738,1.9582399433761943,2054619,8.079356805324979
LA LIBERTAD,2022,156,1195,37.100694033958554,113.2106386157702,140.47647199291936,94.10110963597806,1.8649133293484759,2054619,7.592648564040339
LA LIBERTAD,2023,128,1272,36.37236120113991,110.37457462827028,140.36434688499907,87.97645599741873,1.4375561545372866,2054619,6.229865488443356
LAMBAYEQUE,2019,135,1258,38.04548105118466,115.04520955923353,148.3119206699073,84.09944961591194,1.5330456506927095,1393148,9.690284162199564
LAMBAYEQUE,2020,95,1196,38.68289433788071,116.17465928093645,152.2446906354515,87.42154055183947,0.9928929765886287,1393148,6.819088854881175
LAMBAYEQUE,2021,145,1229,36.18494688697792,110.42520260128343,142.35110802418134,87.12611542592745,1.6854585609671044,1393148,10.408082989029163
LAMBAYEQUE,2022,171,1257,37.30696692482381,113.16853101429697,154.51689800742992,98.124062816616,1.5115354017501987,1393148,12.274359938786114
LAMBAYEQUE,2023,140,1270,36.23759835266768,109.46206987081177,140.0049681737476,89.35411667097242,1.5748031496062993,1393148,10.049183575614364
LIMA,2019,479,4321,37.29614328976203,115.01178490693502,151.35129166911955,88.198643722559,1.3856746123582504,11261067,4.253593376187176
LIMA,2020,414,4104,37.0718577926898,113.80350640331315,156.94592820340603,88.77833804612617,1.120857699805068,11261067,3.676383419084533
LIMA,2021,738,4299,37.89066411743159,114.22037246126807,155.15112098468725,92.51576345715941,1.9074203303093742,11261067,6.553553051411558
LIMA,2022,701,4338,38.90897643890777,118.60748100343307,153.75374366466795,97.44527807113033,1.795502279596332,11261067,6.22498738352236
LIMA,2023,438,4235,37.475973609585566,113.75918289901854,158.29800547418273,88.29918831855355,1.1491538764266038,11261067,3.889507095553201
LORETO,2019,109,1272,37.19654110788983,111.55194617694617,136.4955513205513,88.26735774235773,1.4281970649895177,1154766,9.439141782837389
LORETO,2020,81,1259,37.42235530892178,112.43084656084656,154.33425925925928,86.86957671957673,0.7148530579825257,1154766,7.014408113851637
LORETO,2021,99,1217,36.01899952672038,108.65924036281179,146.0371222764468,88.96711093857833,1.1621082286653361,1154766,8.573165472485336
LORETO,2022,120,1258,36.40319869619208,109.83000765931374,152.27682291666667,90.42170649509804,1.1923688394276628,1154766,10.391715724224648
LORETO,2023,89,1243,36.25805724677924,111.54246336996337,146.41833464154894,84.42123233908949,1.0228709343753593,1154766,7.707189162133281
MADRE DE DIOS,2019,123,1175,37.670028681678865,112.79946557410842,144.33568851783136,86.54849515563801,1.4954407294832828,177571,69.26806742091895
MADRE DE DIOS,2020,63,1173,37.037190079787095,112.46468720821663,146.5094251033747,82.54611311191142,0.7672634271099745,177571,35.47876623998288
MADRE DE DIOS,2021,99,1190,36.984416938817596,115.93157683586254,144.64206785278216,86.71043083900227,1.1884753901560623,177571,55.75234694854453
MADRE DE DIOS,2022,107,1162,37.9037400291121,115.54586371231107,140.49293688767372,84.83567346396295,1.5347102696500288,177571,60.25758710600267
MADRE DE DIOS,2023,130,1193,37.9101082129396,112.46168604281813,137.44419562501324,88.12413442602121,1.8161497625034926,177571,73.21015255869483
MOQUEGUA,2019,143,1201,36.638772516876465,115.63217954609729,154.68008431136877,84.55171362415159,1.4883430474604498,197622,72.36036473671959
MOQUEGUA,2020,123,1199,36.688439669219726,115.91584249084248,146.65705128205127,82.32783882783883,1.4655069700941261,197622,62.24003400431126
MOQUEGUA,2021,176,1213,37.007530970207306,112.63244588744588,144.79410173160176,83.73806818181818,2.072782946649393,197622,89.05891044519335
MOQUEGUA,2022,188,1175,38.893133122275415,116.42397427122468,148.50220595668665,94.33302248563307,2.0,197622,95.13110888463835
MOQUEGUA,2023,164,1209,38.266662898033196,116.83714416684666,137.03475977525514,85.6272945549769,2.2608216156603254,197622,82.98671200574834
PASCO,2019,74,1240,36.78881264976185,113.80050125313285,145.05409356725144,88.18807435254804,0.8525345622119815,294380,25.13757728106529
PASCO,2020,52,1206,37.23492788982442,114.71376262626262,147.9955808080808,90.00978535353535,0.538971807628524,294380,17.664243494802637
PASCO,2021,74,1143,35.23790820503345,111.47658265079869,151.93642020000905,89.00069233901988,0.9248843894513186,294380,25.13757728106529
PASCO,2022,110,1177,37.6369602208837,110.86078042328042,129.4713955026455,88.61838624338624,1.557632398753894,294380,37.36666893131327
PASCO,2023,100,1189,36.43020160405116,112.08819253663003,147.33543383699634,93.14089972527472,1.0513036164844407,294380,33.96969902846661
PIURA,2019,123,1308,37.20388869186064,114.96631297274155,150.28732339089484,86.74621331049902,1.343381389252949,2069446,5.943619693386539
PIURA,2020,107,1288,37.410305954631745,112.63897678784775,139.4359318996416,82.68875234681686,1.384575569358178,2069446,5.170465912133006
PIURA,2021,136,1246,36.089838392176446,112.52637600789305,147.91086880096168,86.07105121400787,1.559275395551479,2069446,6.571807140655035
PIURA,2022,158,1272,36.46425291118387,109.14897170231728,150.0017491087344,92.29940953654189,1.552672955974843,2069446,7.6348935898786445
PIURA,2023,136,1296,37.17309569177568,113.7730056980057,155.0502730294397,93.7539767331434,1.1659807956104251,2069446,6.571807140655035
PUNO,2019,77,1257,36.31884270768006,112.01665575321037,145.1653843355524,86.62093928480483,0.8750994431185362,1279290,6.018963643896224
PUNO,2020,64,1279,36.753299814528305,112.14751420454546,154.99050662878787,90.14086174242425,0.6254886630179828,1279290,5.002774976744913
PUNO,2021,110,1235,36.43556984537583,108.52312937062936,148.2697467854726,86.91458239341304,1.1133603238866396,1279290,8.59851949128032
PUNO,2022,137,1213,36.21728222902988,111.68654112247309,146.44091913873984,93.28871367824239,1.613473089153221,1279290,10.70906518459458
PUNO,2023,92,1217,36.40069840204656,110.45180272108844,141.20273776177137,88.70746298519407,1.0799389599718277,1279290,7.191489029070813
SAN MARTIN,2019,102,1278,36.90470202815739,113.51162234042553,156.20077570921987,89.17650709219858,0.9976525821596245,965432,10.565218472145112
SAN MARTIN,2020,71,1305,35.74954555769698,110.68684554523564,147.86179910560716,83.44512383900928,0.9067688378033205,965432,7.354220701199049
SAN MARTIN,2021,102,1231,37.876787882951795,115.67530455291222,150.68824001914138,89.21253076292042,1.0357432981316004,965432,10.565218472145112
SAN MARTIN,2022,127,1241,36.13999111613294,110.57425259577515,146.0670873612603,88.83566058002148,1.4619546448716474,965432,13.154732803553228
SAN MARTIN,2023,114,1268,37.68235437777941,112.70473002079619,150.78781088192852,93.8355323189882,1.1238170347003156,965432,11.808185351221008
TACNA,2019,242,1243,36.40269321953768,113.38581772684596,150.28236809234792,90.47172005286924,2.433628318584071,379400,63.78492356352135
TACNA,2020,118,1186,36.44041521174273,113.88782051282053,147.82985347985348,86.61419413919414,1.4213442543965311,379400,31.101739588824458
TACNA,2021,204,1220,38.33614950572836,116.25620943086012,146.57565395860283,89.66648009285748,2.3887587822014056,379400,53.76910911966263
TACNA,2022,195,1229,38.70961867116825,116.78609852322619,144.84037161124928,91.50123345921217,2.2666511681971406,379400,51.39694254085398
TACNA,2023,200,1206,37.14188388385701,109.9463809450312,147.3007936125137,92.70861285361497,2.0729684908789388,379400,52.71481286241434
TUMBES,2019,119,1262,36.391010596622586,113.61690009337067,145.08648459383753,87.21832066159797,1.347068145800317,248097,47.96511042052101
TUMBES,2020,122,1220,37.083397430642286,114.51263392857143,155.90734577922078,86.74257305194806,1.25,248097,49.174314884903886
TUMBES,2021,179,1231,36.962892256521144,113.91890026319282,151.7151090554548,91.34162545524248,1.8176279447603574,248097,72.14919970817866
TUMBES,2022,193,1230,37.5950298962286,115.04948304010804,135.1229377104377,88.5644290894291,2.6151761517615175,248097,77.79215387529878
TUMBES,2023,144,1230,36.91953567351445,113.6033778966132,149.53450010212418,93.16901784387997,1.4634146341463414,248097,58.04181429037836
UCAYALI,2019,76,1245,36.81800475254011,110.3840820802005,147.58208020050125,80.7499686716792,0.8720596672403902,632861,12.008956153088908
UCAYALI,2020,64,1236,37.338998994339256,111.28256761159987,139.78191593352884,80.61331052460085,0.8629989212513484,632861,10.112805181548556
UCAYALI,2021,89,1240,37.16863999917686,111.66530338849488,153.8232269503546,90.56487391646967,0.7974910394265232,632861,14.06311970559096
UCAYALI,2022,93,1247,37.14015559533869,108.07822422258592,138.32877644420196,88.17161756683034,1.2429831595829992,632861,14.695170029437742
UCAYALI,2023,114,1242,36.82317781620668,109.19427437641723,147.08005843362986,91.4797139368568,1.311249137336094,632861,18.013434229633365
